CNPJ;Ano;Trimestre;ValorDespesas
307319;2024;4T2024;1408979432.66
307751;2024;2T2024;336864798.84
307751;2024;3T2024;522358258.43
307751;2024;4T2024;701038576.38
308811;2024;2T2024;94959721.23
308811;2024;3T2024;152282070.38
308811;2024;4T2024;203934047.65
309028;2024;2T2024;25596522.71
309028;2024;3T2024;39295985.550000004
309028;2024;4T2024;157692249.22
309087;2024;2T2024;224777958.36
309087;2024;3T2024;337069025.6
309087;2024;4T2024;440941016.05
309222;2024;2T2024;5458856913.84
309222;2024;3T2024;8005407062.889999
309222;2024;4T2024;10879196798.57
309257;2024;4T2024;477073.0
309524;2024;2T2024;69866989.84
309524;2024;3T2024;117280230.08
309524;2024;4T2024;155519505.16
309907;2024;2T2024;413927924.34
309907;2024;3T2024;600187549.2
309907;2024;4T2024;803988376.33
310107;2024;4T2024;1559113.9400000002
310131;2024;2T2024;748715.46
310131;2024;3T2024;748715.46
310131;2024;4T2024;748715.46
310239;2024;2T2024;77211668.22
310239;2024;3T2024;118345546.25
310239;2024;4T2024;164242605.14
310247;2024;2T2024;620979082.23
310247;2024;3T2024;973352493.37
310247;2024;4T2024;1336742886.52
310522;2024;2T2024;529818251.05
310522;2024;3T2024;807927221.27
310522;2024;4T2024;1077209534.86
310981;2024;2T2024;41361715.68
310981;2024;3T2024;60783257.01
311057;2024;2T2024;18750674.93
311057;2024;3T2024;27232046.94
311057;2024;4T2024;35668479.53
311146;2024;2T2024;172370443.62
311146;2024;3T2024;223927031.64999998
311146;2024;4T2024;281852186.15
311294;2024;2T2024;491530247.75
311294;2024;3T2024;745765296.41
311294;2024;4T2024;965135905.29
311359;2024;3T2024;419829645.55
311359;2024;4T2024;549560204.17
311375;2024;2T2024;520524597.45
311375;2024;3T2024;783775585.12
311375;2024;4T2024;1054658414.03
311391;2024;2T2024;28553725.51
311391;2024;3T2024;40968778.42
311391;2024;4T2024;53957373.52
311472;2024;2T2024;253447740.24
311472;2024;3T2024;390747679.93
311618;2024;2T2024;270729162.90999997
311618;2024;3T2024;429927882.8
311618;2024;4T2024;587118318.92
311669;2024;4T2024;6648623.18
311715;2024;2T2024;408885379.13
311715;2024;3T2024;621738250.53
311715;2024;4T2024;855144957.35
311847;2024;2T2024;952398228.43
311847;2024;3T2024;1412627290.03
311847;2024;4T2024;1816384282.91
311944;2024;2T2024;93557448.92
311944;2024;3T2024;137472374.2
311944;2024;4T2024;179538051.38
311961;2024;2T2024;548832128.33
311961;2024;3T2024;683150116.7
311961;2024;4T2024;805891569.73
312126;2024;2T2024;6208221766.42
312126;2024;3T2024;9308952299.22
312126;2024;4T2024;12218384250.92
312282;2024;2T2024;119785474.32
312282;2024;3T2024;178936262.4
312282;2024;4T2024;233245575.32999998
312321;2024;4T2024;14641411.5
312347;2024;2T2024;486307168.09000003
312347;2024;3T2024;692558892.0
312347;2024;4T2024;900974298.04
312363;2024;2T2024;4066961792.2
312363;2024;3T2024;11446420768.36
312363;2024;4T2024;17616595037.46
312592;2024;2T2024;302350731.44
312592;2024;3T2024;464580750.71000004
312592;2024;4T2024;618619057.12
312720;2024;2T2024;1634818101.94
312720;2024;3T2024;2450172066.61
312720;2024;4T2024;3212371546.73
312851;2024;2T2024;2368320656.39
312851;2024;3T2024;3564231637.61
312851;2024;4T2024;4655383435.25
313084;2024;2T2024;142521984.14000002
313084;2024;3T2024;209120321.55
313084;2024;4T2024;277322530.82
313149;2024;2T2024;25852216.8
313149;2024;3T2024;37002793.08
313149;2024;4T2024;49203705.75
313211;2024;2T2024;314780321.01
313211;2024;3T2024;474622404.78999996
313211;2024;4T2024;658967457.69
313475;2024;2T2024;39300272.45
313475;2024;3T2024;58113257.71
313475;2024;4T2024;76378579.26
313751;2024;2T2024;96673091.48
313751;2024;3T2024;147310452.37
313751;2024;4T2024;200740629.12
313807;2024;4T2024;6717183.41
313955;2024;2T2024;52303921.12
313955;2024;3T2024;52942974.92
313955;2024;4T2024;42144338.53
314099;2024;2T2024;597570081.74
314099;2024;3T2024;908099183.57
314099;2024;4T2024;1225291928.42
314218;2024;2T2024;1856893487.52
314218;2024;3T2024;2738443241.74
314218;2024;4T2024;3612141948.35
314242;2024;2T2024;106489162.58
314242;2024;3T2024;159701689.19
314242;2024;4T2024;205856468.77
314251;2024;2T2024;193758125.17000002
314251;2024;3T2024;288640690.95
314251;2024;4T2024;373563634.19
314315;2024;2T2024;24127679.39
314315;2024;3T2024;36350500.51
314315;2024;4T2024;48860397.44
314366;2024;2T2024;7131501.97
314366;2024;3T2024;10797971.75
314366;2024;4T2024;14652845.34
314587;2024;2T2024;124640381.54
314587;2024;3T2024;182385503.05
314587;2024;4T2024;240813843.31
314668;2024;2T2024;395995414.46
314668;2024;3T2024;649770295.25
314668;2024;4T2024;942864234.38
314706;2024;2T2024;44212825.32
314706;2024;3T2024;62883028.61
314706;2024;4T2024;77782579.85
314757;2024;4T2024;0.0
314781;2024;2T2024;68191256.18
314781;2024;3T2024;109901286.99000001
314781;2024;4T2024;151921971.78
314871;2024;4T2024;12589870.52
315044;2024;2T2024;591363389.6
315044;2024;3T2024;890085370.23
315044;2024;4T2024;1188036415.01
315265;2024;2T2024;220824389.84
315265;2024;3T2024;318167918.2
315265;2024;4T2024;400970402.65000004
315478;2024;2T2024;4563812008.92
315478;2024;3T2024;6792314529.01
315478;2024;4T2024;8818263865.04
315494;2024;2T2024;102082926.7
315494;2024;3T2024;151731976.09
315494;2024;4T2024;202026012.99
315567;2024;2T2024;431262191.34000003
315567;2024;3T2024;651351068.45
315567;2024;4T2024;871034075.56
315583;2024;3T2024;215260083.92
315583;2024;4T2024;254464236.88
315648;2024;2T2024;116534087.82000001
315648;2024;3T2024;178156051.73
315648;2024;4T2024;230946838.57999998
315729;2024;2T2024;1591424915.26
315729;2024;3T2024;2347528407.81
315729;2024;4T2024;3158581285.77
315796;2024;2T2024;1198494940.59
315796;2024;3T2024;1803132696.37
315796;2024;4T2024;2347585358.57
316148;2024;2T2024;312488901.96
316148;2024;3T2024;468380338.43
316148;2024;4T2024;623481823.7
316458;2024;2T2024;69190903.87
316458;2024;3T2024;108377800.15
316458;2024;4T2024;137997492.49
